ANNAIL	37.45997	-89.24968
ANNAOH	40.39641	-84.17460
ANNATX	33.34828	-96.55075
ANNNTX	33.58553	-94.91833
ANNPCA	38.71899	-123.34444
ANNPIL	39.14327	-87.81381
ANNPMD	38.97727	-76.49519
ANNPMO	37.36106	-90.69912
ANOKMN	45.19656	-93.38511
ANOLMB	49.88136	-96.63161
ANPKNV	36.31628	-115.57489
ANRDSK	49.66580	-107.00273
ANRGNM	32.20270	-103.66965
ANRLNS	44.73318	-65.53093
ANRSTX	28.08114	-98.17447
ANSCPR	18.28041	-67.14697
ANSLNE	41.29226	-99.38426
ANSMNE	41.61811	-99.86329
ANSNTX	32.75702	-99.89485
ANSOOH	40.21274	-84.63704
ANSTWV	38.13810	-81.10125
ANTAAL	33.65520	-85.83565
ANTAND	47.67864	-97.98629
ANTCCA	38.00372	-121.80757
ANTCIL	42.47722	-88.10238
ANTCTN	36.07033	-86.68688
ANTGWI	45.14807	-89.15276
ANTHIA	42.38918	-95.86838
ANTHKS	37.15335	-98.03180
ANTHNM	32.00233	-106.60541
ANTLND	48.96874	-101.28131
ANTLOK	34.23250	-95.62058
ANTMUT	38.11791	-112.00122
ANTNAL	33.65690	-85.83535
ANTNCO	39.73225	-103.21650
ANTNTX	33.81192	-102.16456
ANTOMO	38.36969	-90.50095
ANTPOR	44.91056	-120.72246
ANTRNH	43.03053	-71.93558
ANTTCO	37.07799	-106.01165
ANVKAK	62.66218	-160.17699
ANVLKY	37.31869	-83.80763
ANVLNC	35.59556	-82.55799
ANVLPA	40.33487	-76.51513
ANWLWV	37.33542	-81.43692
ANWNIL	41.39331	-89.90928
ANWOIA	41.28480	-91.55336
ANWONE	42.54745	-99.86391
ANZACA	33.54781	-116.67470
ANZCAB	56.45099	-111.04502
APCHOK	34.88999	-98.36795
APCKOH	40.74967	-81.83637
APCYMO	38.18990	-94.03720
APEXNC	35.73606	-78.86632
APGVWV	38.67107	-82.16624
APHRGU	13.42339	-215.34760
APLCNY	42.07857	-76.15766
APLCVA	36.90099	-82.78800
APLKPQ	50.73055	-42.80542
APLKTN	35.67845	-85.77434
APLLPA	40.58366	-79.56605
APLROK	34.95049	-95.96456
APMTVA	37.35388	-78.82472
APNGGA	33.55060	-82.31826
APPKFL	28.67547	-81.51589
APPLMN	45.20089	-96.01801
APPLNC	36.50095	-81.50561
APPLTN	35.04797	-87.32978
APPLWI	35.93423	-93.64594
APRVIL	42.50414	-90.09590
APSNTN	35.02581	-85.02711
APSPTX	31.22516	-94.96939
APSYON	44.75805	-78.09579
APTNIA	42.58489	-92.88689
APTSCA	36.97885	-121.88377
APTWON	44.09745	-76.97497
